trace_id,lifecycle_stage,control_question,artifact_path,artifact_type,artifact_status,trace_status,machine_readable,current_signal,evidence_contribution,generated_at
TRACE-001,Permission Preflight,Was the collector authorized to inspect the required AWS evidence?,security/aws_evidence_collector_permissions.csv,csv,Present,TRACEABLE,yes,AUTHORIZED=3,Records AWS permission checks before evidence collection.,2026-07-24T20:54:44.168653+00:00
TRACE-002,Evidence Collection,What AWS administrative port exposure was observed?,security/aws_admin_port_exposure_findings.csv,csv,Present,TRACEABLE,yes,no_rows,"Records discovered SSH, RDP, and WinRM exposure findings.",2026-07-24T20:54:44.168653+00:00
TRACE-003,Evidence Workflow,Was collection packaged into a reviewable evidence workflow?,docs/cloud/aws_admin_access_evidence_package.md,markdown,Present,TRACEABLE,no,status=PASS,Explains the admin-access evidence workflow and review package.,2026-07-24T20:54:44.168653+00:00
TRACE-004,Evidence Workflow,What was the latest workflow execution result?,evidence/generated/aws_admin_access_evidence_workflow_report.md,markdown,Present,TRACEABLE,no,status=PASS,Records the generated workflow execution report.,2026-07-24T20:54:44.168653+00:00
TRACE-005,Corpus,Which approved evidence artifacts are available for retrieval?,ai/security_evidence_corpus_manifest.csv,csv,Present,TRACEABLE,yes,records=57,Lists indexed corpus records and their source artifacts.,2026-07-24T20:54:44.168653+00:00
TRACE-006,Corpus,What is the approved local evidence corpus content?,ai/security_evidence_corpus.jsonl,jsonl,Present,TRACEABLE,yes,records=57,Stores approved evidence records for bounded retrieval.,2026-07-24T20:54:44.168653+00:00
TRACE-007,Retrieval,Which evidence was retrieved for security questions?,ai/security_evidence_query_results.csv,csv,Present,TRACEABLE,yes,QUERY-001=5; QUERY-002=5; QUERY-003=5; QUERY-004=5,"Records query results, matched terms, scores, and source paths.",2026-07-24T20:54:44.168653+00:00
TRACE-008,Answer Layer,Did the answer layer cite approved local evidence?,ai/security_evidence_answer_sources.csv,csv,Present,TRACEABLE,yes,SEC-EVID-0010=1; SEC-EVID-0011=1; SEC-EVID-0037=1; SEC-EVID-0038=1; SEC-EVID-0043=1,Lists source records used by the source-backed answer layer.,2026-07-24T20:54:44.168653+00:00
TRACE-009,Answer Layer,What source-backed answer was generated?,ai/security_evidence_answer.md,markdown,Present,TRACEABLE,no,status=SOURCE_BACKED_REVIEW_REQUIRED,Provides the human-readable answer and its source constraints.,2026-07-24T20:54:44.168653+00:00
TRACE-010,Evaluation,Are answer guardrails passing?,ai/security_evidence_eval_results.csv,csv,Present,TRACEABLE,yes,FAIL=2; PASS=3,Records guardrail evaluation results for supported and unsupported questions.,2026-07-24T20:54:44.168653+00:00
TRACE-011,Gap Management,Which unsupported questions became managed evidence gaps?,ai/security_evidence_gap_register.csv,csv,Present,TRACEABLE,yes,BOUNDARY_REVIEW=2; POSSIBLE_FALSE_POSITIVE_REVIEW=1; SUPPORTED=2,"Records evidence gaps, supported questions, and out-of-scope items.",2026-07-24T20:54:44.168653+00:00
TRACE-012,Remediation Evidence,What evidence supports admin-port remediation?,security/aws_admin_port_remediation_register.csv,csv,Present,TRACEABLE,yes,PUBLIC_ADMIN_EXPOSURE_CLEARED_PENDING_REVIEW=1,Records remediation closure status for AWS admin-port exposure.,2026-07-24T20:54:44.168653+00:00
TRACE-013,Remediation Evidence,What human-readable remediation record exists?,docs/cloud/aws_admin_port_remediation_record.md,markdown,Present,TRACEABLE,no,status=PUBLIC_ADMIN_EXPOSURE_CLEARED_PENDING_REVIEW,Explains the remediation evidence and limitations.,2026-07-24T20:54:44.168653+00:00
TRACE-014,Gap Closure,Which gaps have closure evidence available?,ai/security_evidence_gap_closure_register.csv,csv,Present,TRACEABLE,yes,CLOSURE_EVIDENCE_AVAILABLE_REVIEW_REQUIRED=1; NOT_A_GAP_SUPPORTED=2; RETRIEVAL_REVIEW_NEEDED=2,Maps evidence gaps to closure evidence and recommended closure treatment.,2026-07-24T20:54:44.168653+00:00
TRACE-015,Human Review,Who reviewed closure and what did they decide?,ai/security_evidence_reviewer_decisions.csv,csv,Present,TRACEABLE,yes,CLOSE_GAP=5,"Records reviewer decisions, reviewer identity, date, and notes.",2026-07-24T20:54:44.168653+00:00
TRACE-016,Adjudication,What is the final adjudicated status of each gap?,ai/security_evidence_adjudicated_gap_status.csv,csv,Present,TRACEABLE,yes,CLOSED=5,Converts reviewer decisions into final gap status.,2026-07-24T20:54:44.168653+00:00
TRACE-017,Adjudication,What is the human-readable adjudication summary?,docs/cloud/security_evidence_adjudication_summary.md,markdown,Present,TRACEABLE,no,status=ADJUDICATION_COMPLETE,Summarizes adjudicated gap status for review.,2026-07-24T20:54:44.168653+00:00
TRACE-018,Status Dashboard,What is the current health of the evidence system?,ai/security_evidence_status_summary.csv,csv,Present,TRACEABLE,yes,overall_status=REVIEW_REQUIRED_EVALUATION_FAILURES,Provides machine-readable posture metrics.,2026-07-24T20:54:44.168653+00:00
TRACE-019,Status Dashboard,What dashboard can an executive or auditor read?,docs/cloud/security_evidence_status_dashboard.md,markdown,Present,TRACEABLE,no,status=REVIEW_REQUIRED_EVALUATION_FAILURES,"Provides human-readable posture, next actions, and artifact health.",2026-07-24T20:54:44.168653+00:00
TRACE-020,Evidence Index,Where is the consolidated evidence index?,evidence/evidence_index.md,markdown,Present,TRACEABLE,no,title=Evidence Index,Provides a central index of generated evidence artifacts.,2026-07-24T20:54:44.168653+00:00
