deck,category,difficulty,front,back
cloud-admin-access,recognition,easy,"What is the core control objective behind bastion hosts, VPNs, SSM Session Manager, and PAM workflows?","Controlled, monitored, least-privilege administrative access. The tool is secondary; the control objective is authorized, minimized, segmented, monitored, attributable, and reviewable access."
cloud-admin-access,recognition,easy,Bastion host / jump box: what is the on-prem analogy?,A hardened jump server between remote administrators and internal systems.
cloud-admin-access,recognition,easy,Identity-aware session management: what does it reduce?,"It reduces inbound administrative exposure by brokering access through identity, session controls, managed agents, and centralized logging."
cloud-admin-access,recognition,medium,VPN/private connectivity: what is the trap?,"VPN provides a private path, but it does not prove least privilege. You still need segmentation, identity control, destination limits, logging, and review."
cloud-admin-access,recognition,medium,Privileged access workflow: when is it most appropriate?,"High-risk, regulated, production, or privileged environments where access must be approved, temporary, attributable, logged, and reviewable."
cloud-admin-access,scenario,easy,A developer needs SSH to a disposable lab EC2 instance for two hours. No production data. Destroyed today. What pattern is acceptable?,"Direct public SSH may be acceptable only as a temporary exception. Conditions: source-restricted, time-bound, owned, logged, and cleaned up. Executive sentence: Direct public access can be acceptable for short-lived lab use, but only when restricted, temporary, and verified closed."
cloud-admin-access,scenario,medium,A production database sits in a private subnet. An admin wants direct RDP from home. What pattern should you choose?,"Reject direct RDP. Prefer identity-aware session management or privileged access workflow. Evidence: no public IP, no inbound RDP, session logs, admin identity, MFA/PAM. Executive sentence: Production administration should flow through a controlled, logged access path."
cloud-admin-access,scenario,medium,"The team says, 'We have VPN, so admin access is secure.' What is your response?","VPN is private connectivity, not automatic least privilege. Risk reduced: removes direct public exposure. Risk introduced: broad internal reach if segmentation is weak. Evidence: VPN groups, MFA, routes, segmentation, destination restrictions, logs. Executive sentence: VPN gives a private path; it does not prove least privilege."
cloud-admin-access,scenario,medium,A bastion host exists in a public subnet. Private instances only allow SSH from it. Bastion allows inbound 0.0.0.0/0. What do you do?,"Harden or replace. Current exposure is too broad. Risk reduced: private workloads are not directly exposed. Risk introduced: bastion is a high-value internet-facing target. Evidence: restricted ingress, MFA/key control, patching, session logs, CloudTrail, private instance rules. Executive sentence: If the bastion is broadly exposed, we concentrated the risk instead of eliminating it."
cloud-admin-access,scenario,medium,No inbound SSH/RDP. Admin access is brokered through a cloud-native identity/session service with logs. What pattern is this?,"Identity-aware session management. Risk reduced: no inbound admin-port exposure. Risk introduced: depends on identity policy, agent health, logging, and service availability. Evidence: no inbound admin ports, session logs, IAM permissions, managed instance status, audit logs. Executive sentence: Identity-aware session management reduces exposure and improves evidence quality."
cloud-admin-access,scenario,hard,"A sensitive regulated system requires access to be approved, time-limited, attributable, logged, and reviewable. What pattern stack do you choose?","Privileged access workflow plus identity-aware session management. Risk reduced: limits standing privilege and creates an evidence trail. Risk introduced: higher process and operational complexity. Evidence: approval, temporary role, session recording, audit logs, access review, break-glass records. Executive sentence: For high-risk systems, access must be approved, temporary, attributable, logged, and reviewable."
cloud-admin-access,scenario,medium,"Auditor asks, 'Do you use bastion hosts?' The environment mostly uses AWS SSM Session Manager. How do you answer?","We use bastions only where justified; our preferred control pattern is identity-aware session management. The control objective is controlled, monitored, least-privilege administrative access. Evidence: no inbound admin ports, SSM/session logs, IAM roles, CloudTrail, exception list. Executive sentence: We meet the administrative-access objective through provider-native session controls."
cloud-admin-access,scenario,medium,An EC2 instance allows SSH only from the corporate office IP. Is that good enough?,"Better than open internet, but still direct public SSH. Risk reduced: source restriction. Risk introduced: management port remains exposed; office IP or VPN path could be compromised. Evidence: source CIDR, owner, justification, key control, logs, review/expiration date. Executive sentence: Source restriction improves direct SSH, but it does not make it the preferred production pattern."
cloud-admin-access,scenario,hard,"A multi-cloud enterprise uses different admin tools in AWS, Azure, GCP, and OCI. What should be standardized?","Standardize the control objective, not necessarily the tool. Objective: authorized, minimized, segmented, monitored, attributable, reviewable access. Evidence: provider-native logs, identity records, access paths, session records, control mapping. Executive sentence: The services differ, but the access-control objective is the same."
cloud-admin-access,scenario,medium,"An executive asks, 'Why can’t MFA solve this? If admins have MFA, why not let them connect directly?'","MFA verifies identity; it does not eliminate exposure of the admin path. You still need a controlled path, logging, least privilege, and reviewability. Evidence: no public admin ports, MFA, session logs, role evidence, approval trail. Executive sentence: MFA is one layer; the access path still has to be minimized, monitored, and reviewable."
cloud-admin-access,defense,medium,Defend this sentence: 'A bastion host is not the control objective.',"The control objective is controlled, monitored, least-privilege administrative access. A bastion is one implementation pattern. It may reduce direct exposure of private systems, but it also becomes a high-value target and must be hardened, monitored, patched, and tightly authorized."
cloud-admin-access,defense,hard,What evidence proves administrative access is mature?,"No unnecessary public admin ports, authorized admin identities, MFA or equivalent identity control, time-bound privilege where appropriate, session logs, provider audit logs, access path diagram, approval trail for high-risk access, periodic review, and break-glass evidence."
cloud-admin-access,defense,hard,What is the executive test for a cloud admin access pattern?,"Can we explain who accessed what, through which path, under what authority, with what approval or boundary, and where the evidence is retained for review?"
