query_id,query,rank,document_id,title,artifact_family,source_path,score,matched_terms,summary
QUERY-001,public administrative port exposure security group,1,SEC-EVID-0048,Security Evidence Retrieval Report,evidence_report,evidence/generated/security_evidence_query_report.md,70,"administrative, exposure, group, port, public, security",# Security Evidence Retrieval Report Generated: `2026-07-24T23:30:15.284488+00:00` Overall Status: **PASS** ## Purpose This report records bounded retrieval against the local security evidence corpus. The retrieval layer searches only indexed project evidence and returns source-backed results. ## Retrieval Summary | Field | Value | |---|---:| | Corpus records available | `61` | | Queries executed | `4` | | Results returned | `20` | ## Query Results ### Query: `public administrative port exposure...
QUERY-001,public administrative port exposure security group,2,SEC-EVID-0006,Cloud Administrative Access Pattern Decision Guide,cloud_admin_access,docs/cloud/cloud_admin_access_decision_guide.md,60,"administrative, exposure, group, public, security","# Cloud Administrative Access Pattern Decision Guide Generated: `2026-07-14T19:25:54.729123+00:00` ## Purpose This guide turns cloud administrative access patterns into architecture decision logic. The goal is to choose and defend an access pattern based on risk, evidence, operational burden, and governance maturity. ## Core Control Objective The objective is not to deploy a specific named service. The objective is to ensure administrative access is authorized, minimized, segmented, monitored, t..."
QUERY-001,public administrative port exposure security group,3,SEC-EVID-0026,AWS Admin Port Exposure Evidence Report,cloud_admin_access,evidence/generated/aws_admin_port_exposure_report.md,52,"administrative, exposure, group, port, public, security","# AWS Admin Port Exposure Evidence Report Generated: `2026-07-18T11:49:56.039354+00:00` Overall Status: **PASS** ## Purpose This report collects read-only AWS security group evidence for administrative port exposure. It supports the cloud administrative access ADR by identifying whether SSH, RDP, or WinRM ports are exposed and what source category can reach them. ## Collection Summary | Field | Value | |---|---| | AWS region | `us-east-1` | | Security groups evaluated | `1` | | Findings | `0` |..."
QUERY-001,public administrative port exposure security group,4,SEC-EVID-0034,Cloud Administrative Access Pattern Report,cloud_admin_access,evidence/generated/cloud_admin_access_pattern_report.md,52,"administrative, exposure, group, public, security","# Cloud Administrative Access Pattern Report Generated: `2026-06-26T14:43:12.377910+00:00` ## Purpose This report compares common administrative access patterns across cloud environments. The goal is to translate familiar on-prem systems engineering concepts into cloud architecture, risk, and evidence terms. ## Executive Summary Administrative access is not a single control. It is a pattern made from identity, network exposure, session control, logging, and evidence retention. A bastion host is..."
QUERY-001,public administrative port exposure security group,5,SEC-EVID-0007,Cloud Administrative Access Evidence Playbook,cloud_admin_access,docs/cloud/cloud_admin_access_evidence_playbook.md,50,"administrative, exposure, group, public, security","# Cloud Administrative Access Evidence Playbook Date: `2026-07-16` ## Purpose This playbook turns the cloud administrative access ADR into evidence requirements and exception-management practices. The goal is to make the access decision auditable: who can administer workloads, how they connect, what risks remain, and what evidence proves the access path is controlled. ## Core Evidence Questions For any cloud administrative access pattern, answer these questions: 1. Who is authorized to administe..."
QUERY-002,evidence collector permissions ec2 describe security groups,1,SEC-EVID-0020,Evidence Index,evidence_index,evidence/evidence_index.md,93,"collector, evidence, security","# Evidence Index Generated: `2026-07-24T20:57:12.932507+00:00` ## Purpose This index lists generated evidence artifacts created by the cloud-data-pipeline project. The purpose is to make validation, audit, and control-support evidence easy to locate. ## Generated Evidence | Evidence File | Location | |---|---| | Adr 001 Cloud Admin Access Report | `evidence\generated\adr_001_cloud_admin_access_report.md` | | Artifact Hash Report | `evidence\generated\artifact_hash_report.md` | | Artifact Manifes..."
QUERY-002,evidence collector permissions ec2 describe security groups,2,SEC-EVID-0048,Security Evidence Retrieval Report,evidence_report,evidence/generated/security_evidence_query_report.md,84,"collector, describe, ec2, evidence, groups, permissions, security",# Security Evidence Retrieval Report Generated: `2026-07-24T23:30:15.284488+00:00` Overall Status: **PASS** ## Purpose This report records bounded retrieval against the local security evidence corpus. The retrieval layer searches only indexed project evidence and returns source-backed results. ## Retrieval Summary | Field | Value | |---|---:| | Corpus records available | `61` | | Queries executed | `4` | | Results returned | `20` | ## Query Results ### Query: `public administrative port exposure...
QUERY-002,evidence collector permissions ec2 describe security groups,3,SEC-EVID-0041,Security Evidence Corpus Report,evidence_report,evidence/generated/security_evidence_corpus_report.md,61,"collector, evidence, security","# Security Evidence Corpus Report Generated: `2026-07-24T23:30:15.133051+00:00` Overall Status: **PASS** ## Purpose This report records creation of a structured security evidence corpus for future AI-assisted evidence review. The corpus organizes existing project artifacts into document records with source paths, titles, artifact families, hashes, summaries, and full text content. ## Generated Artifacts - `ai/security_evidence_corpus.jsonl` - `ai/security_evidence_corpus_manifest.csv` ## Corpus..."
QUERY-002,evidence collector permissions ec2 describe security groups,4,SEC-EVID-0018,Security Evidence Traceability Matrix,general_security_artifact,docs/cloud/security_evidence_traceability_matrix.md,56,"collector, evidence, security",# Security Evidence Traceability Matrix Generated: `2026-07-24T23:30:17.341039+00:00` Overall Status: **TRACEABILITY_COMPLETE** ## Purpose This matrix maps security evidence artifacts to the control questions they support. It prevents the evidence system from becoming a set of disconnected scripts and reports. ## Summary | Field | Value | |---|---:| | Traceability rows | `20` | | Traceable artifacts | `20` | | Missing artifacts | `0` | | Empty artifacts | `0` | | Machine-readable artifacts | `13...
QUERY-002,evidence collector permissions ec2 describe security groups,5,SEC-EVID-0040,Security Evidence Answer Report,evidence_report,evidence/generated/security_evidence_answer_report.md,44,"evidence, security",# Security Evidence Answer Report Generated: `2026-07-24T23:30:16.733744+00:00` Overall Status: **SOURCE_BACKED_REVIEW_REQUIRED** ## Purpose This report records a constrained answer attempt against the local security evidence corpus. The answer layer may only use retrieved source records from the approved corpus. ## Question What is the current USD to EUR exchange rate? ## Summary | Field | Value | |---|---:| | Corpus records available | `61` | | Source records used | `5` | ## Source Records | R...
