group,path,status,size_bytes,sha256,purpose
Sample Data,data/sample_api_response.json,Present,362,106058f71014aaff6e322a886a2252eed7a5c946887e1c5b1caf51f24182de6a,Demo-safe raw API-style input data
Sample Data,data/sample_processed_output.csv,Present,58,88404f0e4ca32fd87a9bf77f21afb90c85b480a501f47305ded8511c635e24e2,Demo-safe processed pipeline output
Automation Script,src/validate_sample_data.py,Present,4469,e5a09ce0534edafa112018f76a9baa65bd7d6db003c51feeb44e1c48751cae6e,Validates sample data and creates validation evidence
Automation Script,src/generate_evidence_index.py,Present,2169,1a0bb955521d1789b17297069c0aefc6600a1b8d3914f99e5e5032e0c981e097,Generates the evidence index
Automation Script,src/generate_control_matrix.py,Present,1850,a91ca5a4e13f8b6179901557b5dc6115a6e6674427c3bd6da15b6032562ff885,Generates the control matrix
Automation Script,src/generate_risk_register.py,Present,2636,9ec496733453878ade45c17c2dc423ebaf1ab5767cf5987066961c51742df09c,Generates the risk register
Automation Script,src/generate_artifact_manifest.py,Present,4390,cd0ceaef5a371ef4a41a78312f5b1480f322c9baa00762c6ee51334eb9f0b2bc,Generates the artifact manifest
Automation Script,src/run_governance_workflow.py,Present,4802,9393022f08accf958ea4f492bd6a144ab12c660c958f452d6914250fe5e9bbb6,Runs the governance workflow
Evidence,evidence/generated/sample_data_validation_report.md,Present,508,5d1a183431761e6775a9b57de49acecc31da4962800e809d9669a4aa401bdcf2,Shows sample data validation results
Evidence,evidence/generated/governance_workflow_run_report.md,Present,1671,6c695e60da2c09a2d730b82404d52bf491d67e323182910c0e5e12a69775b198,Shows workflow execution results
Evidence,evidence/generated/artifact_manifest.md,Present,2195,197d110b3fb7d69d8ef3d509b65eec5bad68b6ee86670248b89703639f7afc52,Lists important project artifacts
Evidence,evidence/evidence_index.md,Present,886,8d979b9f6915cddec1e0164d128b1a9fe58f2c0c4bf1f307603a2410e9b05249,Lists generated evidence artifacts
Security Governance,security/control_matrix.csv,Present,700,4fe1d1ad5e7e7e614a23b2725a946fff587f2f5289796c3aa8d6ed7e5132ff1a,Maps controls to evidence and risks
Security Governance,security/risk_register.csv,Present,1073,9205f2c799ea3b73383d3f03ec1d214b7339e3edeb1911635cb352cf04cd7e40,"Maps risks to mitigations, controls, and evidence"
Documentation,docs/executive_summary.md,Present,2902,489db8ecf891115e38b8345ef9228b3011614a10fd6fcf0c83d66ec178b08bca,Explains the project in executive language
Documentation,docs/architecture_diagram.md,Present,2668,dcff51da6e90451c60c3aa4a80e98f567571c38f43bf14b7126f82092966b991,Shows the secure automation workflow architecture
